year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1995,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4000000,0,25,4.504692,10.138601, 8.602569,3.309260,353.2400,480.5712,-0.05508907,-0.86414351,-1.07671995, 0.47631317,-0.13901668,-0.34771526,-0.09069161, 0.23976297,-0.93500506,-0.89711784,-0.06450409,-0.97829762,-0.15348116,-0.43270787
1998,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.1269841,0,25,5.760583,10.877082, 9.999686,3.781303,362.7363,512.7077,-1.84662463, 0.85904017,-0.24483114, 0.83609773, 0.79089348, 1.28859487, 1.31635369,-1.50251922, 0.95791026, 0.76643671, 0.59001683,-0.03649423, 1.13789581, 0.72280920
2002,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4000000,0,25,4.689467,10.726319, 9.709534,3.055792,310.5317,447.1435,-0.05508907,-0.61061736,-0.41466415,-1.14177604,-1.10628844, 0.94876684,-0.84621714, 0.32645403,-0.37227720, 0.46086395,-1.13645385,-0.11919273,-1.11727047,-0.98458862
2004,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.2857143,0,25,5.171828,11.808369, 9.626328,3.482541,338.8441,504.0628,-0.80503418, 0.05122082, 0.80425137,-0.06910558, 0.54074024, 0.85131584, 0.42581687,-0.39786908, 0.39876950, 0.40467905, 0.14428642, 1.16407725, 0.08524096, 0.81640133
2005,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4324324,0,25,5.786934,12.324531, 7.738764,2.992001,360.5263,501.2810, 0.15773320, 0.89519585, 1.38570114, 0.75236985, 0.46024788,-1.35940759,-1.03636410, 0.57870463, 1.32169148,-1.75776742, 1.13049839, 1.78710140,-1.42338971, 0.85404745
2006,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.5133333,0,25,4.880208,10.730562, 9.616205,3.662004,339.5164,476.8618, 0.68860651,-0.34890597,-0.40988344,-0.04363234,-0.24635264, 0.83946020, 0.96075039, 1.11156860, 0.12627506, 0.49638818, 0.45589946, 0.01031113, 0.55034796, 0.22976257
2007,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4797297,0,25,4.081790,10.430664, 9.763151,3.717370,295.1128,440.8182, 0.46809900,-1.44439863,-0.74771479,-1.72595233,-1.28931783, 1.01156396, 1.12578451, 0.88123606,-0.95079376, 0.73079059,-1.14835055,-0.33150596, 0.71507813,-0.76670977
2009,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4000000,0,25,4.305578,10.412084, 8.598579,3.301708,332.6961,458.2270,-0.05508907,-1.13734361,-0.76864550,-0.30203295,-0.78557334,-0.35238791,-0.11320137, 0.33640729,-0.65557646,-0.56385179, 0.31030554,-0.37920247,-0.50113883,-0.25229526
2010,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4183007,0,25,4.915583, 9.947363,10.018434,4.006660,311.9436,446.2374, 0.06500018,-0.30036819,-1.29214661,-1.08828473,-1.13250637, 1.31055214, 1.98808721, 0.42304015, 0.13929968, 1.17540860,-0.48454281,-0.95224946, 1.64599155,-0.62438107
2011,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.0800000,0,25,4.772449,10.440091, 8.962531,3.441946,322.0198,468.1690,-2.15493540,-0.49675962,-0.73709611,-0.70652781,-0.49788899, 0.07387424, 0.30481247,-1.84216750,-0.12945259, 0.02206189,-0.15471573,-0.46952490, 0.03163148,-0.05073929
2012,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.5320513,0,25,4.051620, 9.702118, 9.478703,3.724521,307.4382,435.2657, 0.81143406,-1.48579493,-1.56841195,-1.25898193,-1.44998777, 0.67841646, 1.14709892, 1.06711421,-1.22111029, 0.71694614,-0.80243296,-1.39594674, 0.96590547,-1.09963647
2013,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.3175676,0,25,4.638640,11.018025, 8.709033,3.072535,330.1655,483.7711,-0.59601232,-0.68035689,-0.08606101,-0.39790981,-0.04642273,-0.22302378,-0.79631150,-0.40923559,-0.54855621,-0.08714122,-0.07995724,-0.03148185,-0.86244453, 0.17130735
2014,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.4393064,0,25,5.687111,11.988663, 7.088130,2.940782,347.4707,506.0276, 0.20284003, 0.75822952, 1.00734970, 0.25773175, 0.59759612,-2.12143257,-1.18903494, 0.30889766, 0.72688469,-1.88118629, 0.39375466, 0.92126273,-1.11703467, 0.64688215
2015,thick-billed murre,Chowiet,thick-billed murre_Chowiet,Cold Temperate Northeast Pacific,Gulf of Alaska,0.0000000,1,25,6.124220,11.892541, 8.007260,3.020326,387.0186,543.1708,-2.67989698, 1.35797833, 0.89906949, 1.75608360, 1.67238042,-1.04494365,-0.95193395,-2.66637413, 1.13322642,-0.69332280, 1.66684357, 0.64953633,-0.71872751, 1.51739961
