year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,breeding_temp,pre_breeding_chl,breeding_chl,pre_breeding_strat,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
1993,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6206897,0,30,3.688806,8.157002, 7.972107,3.652708,501.1323,598.6049, 0.2957936,-0.1281112,-0.1602509, 1.3002324, 0.79694112,-2.323392843,-0.60565378,-0.066309788,-0.63920507,-1.165111183,-0.56972615, 0.01229539,-0.7925702613,-0.525962614
1994,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6140351,0,30,3.681065,7.660133, 9.535872,4.072642,496.6567,610.4853, 0.2626666,-0.1491491,-1.2160025, 1.1400104, 1.20584529,-0.933995506, 0.66733765, 0.025743172,-0.46773608,-0.006996914,-0.34188067,-0.99371633, 0.4703663353, 0.195450044
1995,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.7272727,0,30,3.532203,7.930229, 9.781056,3.787732,490.2084,576.4507, 0.8263732,-0.5537225,-0.6421003, 0.9091661, 0.03442687,-0.716150314,-0.19634104, 0.703457982,-0.69875505,-0.003107223,-0.21446638,-0.37801721,-0.4002411677,-0.689294410
1996,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6440678,0,30,4.282414,8.493932, 9.198836,3.920838,511.3745,627.4302, 0.4121720, 1.4851843, 0.5556625, 1.6668980, 1.78906215,-1.233449664, 0.20715846, 0.392093190, 1.49475386,-0.717034508, 0.87171530, 0.85359950,-0.0005444701, 1.326180308
1997,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.5294118,0,30,4.180940,8.579165,10.267906,3.632155,505.4740,595.9451,-0.1585955, 1.2093993, 0.7367670, 1.4556624, 0.70539484,-0.283586598,-0.66795892,-0.087009624, 1.35461848, 0.053528191, 0.95912061, 1.06061505,-0.8763386303, 0.477517914
1998,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6718750,0,30,3.654102,7.966129,12.928103,4.719593,472.8158,565.1235, 0.5505986,-0.2224286,-0.5658182, 0.2865233,-0.35543738, 2.079984520, 2.62851439, 0.702677397, 0.03948777, 2.255126509, 0.05881362,-0.22400212, 2.4225839184,-0.374143907
2000,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.5250000,0,30,3.111482,7.757454,11.733089,4.170611,473.5040,572.6958,-0.1805577,-1.6971504,-1.0092145, 0.3111625,-0.09481021, 1.018220436, 0.96432426, 0.040842289,-1.33748926, 1.048717191, 0.32247603,-0.65737332, 0.7639690488, 0.069819126
2001,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.0000000,1,30,3.353321,7.858793,11.344112,4.029704,444.0655,568.1998,-2.7940523,-1.0398866,-0.7938872,-0.7427132,-0.24955512, 0.672616822, 0.53717691,-2.514503021,-0.60143308, 0.575795911,-0.52218528,-0.43996379, 0.3455229871, 0.072575568
2002,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.1428571,0,30,3.450323,8.021603,10.415453,3.570468,450.0140,538.2796,-2.0828973,-0.7762544,-0.4479481,-0.5297639,-1.27936277,-0.152492520,-0.85495553,-1.756370385,-0.27796102,-0.359303530,-0.12983039,-0.09988548,-1.0347821548,-0.825565262
2003,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.6250000,0,30,3.936491,8.418902, 9.755011,4.025416,445.8694,559.1517, 0.3172509, 0.5450403, 0.3962394,-0.6781367,-0.56097835,-0.739291309, 0.52417663, 0.679583655, 1.08422124,-1.038764852,-0.12860653, 0.73049831, 0.3593033176,-0.001348543
2004,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.3529412,0,30,3.796661,8.334607,11.850057,3.878355,423.6984,558.5777,-1.0370811, 0.1650151, 0.2171264,-1.4718408,-0.58073251, 1.122146496, 0.07837477,-0.650114238, 0.72613111, 0.747337987,-0.80252283, 0.52963872,-0.0684192020, 0.058895077
2005,parakeet auklet,Buldir,parakeet auklet_Buldir,Cold Temperate Northeast Pacific,Aleutian Islands,0.5000000,0,30,4.010238,8.442513,10.584323,3.773818,473.6917,568.2816,-0.3050098, 0.7454699, 0.4464077, 0.3178812,-0.24674130,-0.002452357,-0.23851881, 0.095419431, 1.30956855,-0.435268265, 1.07717817, 0.72923036,-0.3641074273, 0.447049531
